firstname,alt_firstname,lastname,teams,statut,status,webpage,HAL,start_date,end_date,member,photo,perm,fid,researcheridId_s,idrefId_s,orcidId_s,viafId_s,isniId_s,google scholarId_s,arxivId_s
Manchun,,Lei,ACTE,CR MTE,Researcher,/manchun-lei,manchun-lei,2016-11-01,,true,/manchun-lei/img/lei.jpg,true,79,,https://www.idref.fr/162432488,https://orcid.org/0000-0002-7981-9742,,,,
Lâmân,,Lelégard,GEOVIS,Ingénieur,Research engineer,/laman-lelegard,laman-lelegard,2007-09-01,,true,/geovis/faces/lelegard.jpg,true,80,,,https://orcid.org/0000-0002-5054-9769,,,https://scholar.google.fr/citations?user=vIstjk4AAAAJ&hl=fr,
Bérénice,,Le Mao,GEOVIS,Doctorante,PhD student,/Berenice-Le-Mao,berenice-lm,2022-09-01,,true,/Berenice-Le-Mao/img/berenice.jpg,false,81,,,https://orcid.org/0000-0001-9388-1086,,,,
Maria-Jesus,,Lobo,GEOVIS,CR MTE - Responsable de l'équipe GEOVIS,Researcher - head of GEOVIS team,/maria-jesus-lobo,maria-jesus-lobo,2019-12-01,,true,/geovis/faces/lobo.png,true,82,,,https://orcid.org/0000-0003-1192-8106,,,,
Romain,,Loiseau,STRUDEL,Doctorant,PhD student,/romain-loiseau,romain-loiseau,2020-09-01,2023-09-01,false,/romain-loiseau/img/loiseau.jpg,false,83,,,,,,,
Imran,,Lokhat,GEOVIS,Développeur,IT scientist,/imran-lokhat,,2014-10-01,2021-03-15,false,,true,84,,,,,,,
Yiyan,,Li,MEIG,Doctorant,PhD student,,,2023-12,2026-12,true,,false,85,,,,,,,
Ibrahim,,Maidaneh Abdi,MEIG,Doctorant,PhD student,,,2019-10-01,2022-12-01,false,,false,86,,,,,,,
Clément,,Mallet,STRUDEL,DR IGN,Senior researcher,/clement-mallet,clement-mallet,2005-10-01,,true,/clement-mallet/img/mallet.jpg,true,87,,https://www.idref.fr/17746545X,https://orcid.org/0000-0002-2675-165X,,,,
Yanis,,Marchand,ACTE,Doctorant,PhD student,/yanis-marchand,,2019-10-01,2022-11-28,false,/yanis-marchand/img/yanis.png,false,88,,,,,,,
Olivier,,Martin,ACTE,Ingénieur de Recherches,Research engineer,,,,,true,,true,89,,,,,,,
Yann,,Méneroux,MEIG,CR IGN,Researcher,,,2013-10-01,2023-05-01,false,,true,90,,,,,,,
